date,ticker,close,fiscal_period,fiscal_year,revenue,net_income,totalLiabilities,totalEquity,share_capital,shares_outstanding,market_capitalization,p_e_ratio,sma_50,next_close
2024-11-14,AAPL,228.22,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3449733125060.0,234.10241076682954,226.95559999999998,225.0
2024-11-15,AAPL,225.0,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3401060175000.0,230.79941469869706,227.0392,228.02
2024-11-18,AAPL,228.02,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3446709960460.0,233.8972557315418,227.1814,228.28
2024-11-19,AAPL,228.28,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3450640074440.0,234.16395727741585,227.3448,229.0
2024-11-20,AAPL,229.0,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3461523467000.0,234.9025154044517,227.4716,228.52
2024-11-21,AAPL,228.52,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3454267871960.0,234.41014331976112,227.5866,229.87
2024-11-22,AAPL,229.87,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3474674233010.0,235.7949398079533,227.734,232.87
2024-11-25,AAPL,232.87,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3520021702010.0,238.87226533726928,228.065,235.06
2024-11-26,AAPL,235.06,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3553125354380.0,241.11871297366991,228.43040000000002,234.93
2024-11-27,AAPL,234.93,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3551160297390.0,240.9853622007329,228.7152,237.33
2024-11-29,AAPL,237.33,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3587438272590.0,243.44722262418566,228.88440000000003,239.59
2024-12-02,AAPL,239.59,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3621600032570.0,245.765474522937,229.1122,242.65
2024-12-03,AAPL,242.65,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3667854450950.0,248.9043465628393,229.43580000000003,243.01
2024-12-04,AAPL,243.01,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3673296147230.0,249.27362562635722,229.7486,243.04
2024-12-05,AAPL,243.04,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3673749621920.0,249.30439888165037,230.082,242.84
2024-12-06,AAPL,242.84,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3670726457320.0,249.09924384636264,230.3884,246.75
2024-12-09,AAPL,246.75,Q4,2024.0,94930000000.0,14736000000.0,308030000000.0,56950000000.0,83276000000.0,15115823000.0,3729829325250.0,253.11002478623777,230.7676,247.77
